Opportunity Number,Opportunity Title,Agency,Opportunity Status,Posted Date,,Instrument Type,Category,Matching,Award Ceiling,Award Floor

NOT-AT-24-023,Notice of Intent to Publish a Notice of Funding Opportunity for Natural Product Multi-Site Clinical Trial Data Coordinating Center (Collaborative U24 Clinical Trial Required),HHS-NIH11,Forecasted,10/23/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:,0,0

NOT-AT-24-020,Notice of Intent to Publish a Notice of Funding Opportunity for NCCIH Natural Product Early Phase Clinical Trial Award (R33 Clinical Trial Required),HHS-NIH11,Forecasted,10/23/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:, 525000,0

NOT-MH-23-296,Notice of Intent to Publish a Notice of Funding Opportunity for Early Psychosis Intervention Network (EPINET) Data Coordinating Center (U24 Clinical Trial Not Allowed),HHS-NIH11,Forecasted,10/23/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:, 1000000,0

NOT-AG-23-063,"Notice of Intent to Publish the Reissuance of RFA-AG-20-021, ""Nathan Shock Centers Coordinating Center (U24 Clinical Trial Not Allowed)""",HHS-NIH11,Forecasted,10/23/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:,0,0

NOT-AI-23-071,Notice of Intent to Publish a Funding Opportunity Announcement for Centers of Excellence for Translational Research (CETR) (U19 Clinical Trial Not Allowed),HHS-NIH11,Forecasted,10/23/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:, 5000000,0

NOT-MH-23-295,Notice of Intent to Publish a Notice of Funding Opportunity Announcement for Early Psychosis Intervention Network (EPINET): Learning Health Care Research to Improve Mental Health Services and Outcomes (P01 Clinical Trial Optional),HHS-NIH11,Forecasted,10/23/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:, 1000000,0

NOT-AT-24-014,Notice of Intent to Publish a Notice of Funding Opportunity for Investigator Initiated Clinical Trials of Complementary and Integrative Interventions Delivered Remotely or via mHealth (R01 Clinical Trial Required),HHS-NIH11,Forecasted,10/23/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:,0,0

NOT-AT-24-019,Notice of Intent to Publish a Notice of Funding Opportunity for NCCIH Natural Product Mid Phase Clinical Trial Cooperative Agreement (R01 Clinical Trial Required),HHS-NIH11,Forecasted,10/23/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:, 350000,0

CDFI-2024-SDL,Fiscal Year 2024 Small Dollar Loan Program,USDOT-CDFI,Posted,10/20/2023,11/20/2023,Grant,Community Development,No,500000,20000

USDA-NIFA-SCRI-010311,Specialty Crop Research Initiative - Pre-Applications,USDA-NIFA,Posted,10/20/2023,12/08/2023,Grant,Agriculture,No,2000000,50000

PAR-24-046,Information and Practice Needs Relevant to Late Talking Children (R21 Clinical Trial Not Allowed),HHS-NIH11,Posted,10/20/2023,11/19/2024,Grant,"Health
Income Security and Social Services",No,275000,0

RFA-PS-18-000,RFA-PS-18-000,HHS-CDC-HHSCDCERA,Posted,10/20/2023,10/13/2025,Cooperative Agreement,Health,No,0,0

RFA-EH-18-000,RFA-EH-18-000,HHS-CDC-HHSCDCERA,Posted,10/20/2023,10/13/2025,Cooperative Agreement,Health,No,0,0

RFA-IP-18-000,RFA-IP-18-000,HHS-CDC-HHSCDCERA,Posted,10/20/2023,10/13/2025,Cooperative Agreement,Health,No,0,0

RFA-CK-18-000,RFA-CK-18-000,HHS-CDC-HHSCDCERA,Posted,10/20/2023,10/13/2025,Cooperative Agreement,Health,No,0,0

RFA-DP-18-000,RFA-DP-18-000,HHS-CDC-HHSCDCERA,Posted,10/20/2023,10/13/2025,Cooperative Agreement,Health,No,0,0

RFA-CE-18-000,RFA-CE-18-000,HHS-CDC-HHSCDCERA,Posted,10/20/2023,10/13/2025,Cooperative Agreement,Health,No,0,0

RFA-CC-18-000,RFA-CC-18-000,HHS-CDC-HHSCDCERA,Posted,10/20/2023,10/13/2025,Cooperative Agreement,Health,No,0,0

RFA-CD-18-000,RFA-CD-18-000,HHS-CDC-HHSCDCERA,Posted,10/20/2023,10/13/2025,Cooperative Agreement,Health,No,0,0

RFA-OT-18-000,RFA-OT-18-000,HHS-CDC-HHSCDCERA,Posted,10/20/2023,10/13/2025,Cooperative Agreement,Health,No,0,0

RFA-OE-18-000,RFA-OE-18-000,HHS-CDC-HHSCDCERA,Posted,10/20/2023,2099-01-01,Cooperative Agreement,Health,No,0,0

RFA-TP-18-000,RFA-TP-18-000,HHS-CDC-HHSCDCERA,Posted,10/20/2023,2099-01-01,Cooperative Agreement,Health,No,0,0

PAR-24-050,NIDCD Cooperative Agreement for Clinical Trials in Communication Disorders (U01 - Clinical Trial Required),HHS-NIH11,Posted,10/20/2023,2099-01-01,Cooperative Agreement,Health,No,0,0

PAR-24-051,NIDCD Low Risk Clinical Trials in Communication Disorders (R01 Clinical Trial Required),HHS-NIH11,Posted,10/20/2023,2099-01-01,Grant,Health,No,500000,0

ARPA-H-MAI-24-01,ARPA-H Biomedical Data Fabric Toolbox,HHS-ARPAH,Posted,10/20/2023,2099-01-01,Cooperative Agreement,"Health
Science and Technology and other Research and Development",No,15000000,1

7200AA24APS00001,FY2024 Development Innovation Ventures_APS,USAID,Posted,10/20/2023,2099-01-01,Grant,Science and Technology and other Research and Development,No,15000000,25000

MEDIA-FY24-ARM-02,Investigative Journalism Training Program,DOS-ARM,Posted,10/19/2023,2099-01-01,Cooperative AgreementGrant,"Other (see text field entitled ""Explanation of Other Category of Funding Activity"" for clarification)",No,500000,0

NNH23ZDA001N-CYGNSS,ROSES 2023: A.26 CYGNSS Competed Science Team,NASA-HQ,Posted,10/19/2023,2099-01-01,Cooperative AgreementGrant,Science and Technology and other Research and Development,No,0,0

20240925-RFW,Archaeological and Ethnographic Field Research,NEH,Forecasted,10/19/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:, 150000, 1

F24AS00078,F24AS00078 FY24 Recovery Challenge Fund,DOI-FWS,Posted,10/19/2023,2099-01-01,Cooperative AgreementGrant,Natural Resources,Yes,1700000,1000

RFA-TS-18-000,RFA-TS-18-000,HHS-CDC-HHSCDCERA,Posted,10/19/2023,2099-01-01,Cooperative Agreement,Health,No,0,0

DE-FOA-0003194,Atmospheric System Research (ASR),PAMS-SC,Posted,10/19/2023,2099-01-01,GrantOther,Science and Technology and other Research and Development,No,945000,200000

RFA-DK-25-003,Silvio O. Conte Digestive Diseases Research Core Centers (P30 Clinical Trial Optional),HHS-NIH11,Posted,10/19/2023,2099-01-01,Grant,"Food and Nutrition
Health",No,750000,0

RFA-SH-18-000,RFA-SH-18-000,HHS-CDC-HHSCDCERA,Posted,10/19/2023,2099-01-01,Cooperative Agreement,Health,No,0,0

AFPMB-BAA-24-01,BROAD AGENCY Announcement (BAA) FOR THE PROTECTION OF DEPLOYED MILITARY PERSONNEL FROM THREATS POSED BY ARTHROPOD DISEASE VECTORS,DOD,Posted,10/19/2023,2099-01-01,Grant,Science and Technology and other Research and Development,No,975000,0

PAR-24-059,Understanding the Impact of Healthcare System and Clinician Factors on Disparities in Maternal Morbidity and Mortality (R01 - Clinical Trial Optional),HHS-NIH11,Posted,10/19/2023,2099-01-01,Grant,"Education
Health
Income Security and Social Services",No,0,0

RFA-HD-24-015,HEAL Initiative: Limited Competition: Data Coordinating Center for Completion of the Outcomes of Babies with Opioid Exposure (OBOE) Study (U24 Clinical Trial Not Allowed),HHS-NIH11,Posted,10/19/2023,2099-01-01,Cooperative Agreement,"Health
Income Security and Social Services",No,0,0

RFA-HD-24-014,HEAL Initiative: Limited Competition: Clinical Centers for Completion of the Outcomes of Babies with Opioid Exposure (OBOE) Study (UG1 Clinical Trial Not Allowed),HHS-NIH11,Posted,10/19/2023,2099-01-01,Cooperative Agreement,"Health
Income Security and Social Services",No,100000,0

RFA-NS-24-013,Efficacy and Safety of Amyloid-Beta Directed Antibody Therapy in Mild Cognitive Impairment and Dementia with Evidence of Both Amyloid-Beta and Vascular Pathology (U01 - Clinical Trial Required),HHS-NIH11,Posted,10/19/2023,2099-01-01,Cooperative Agreement,Health,No,6700000,0

RFA-AG-24-040,Microphysiological Systems to Advance Precision Medicine for AD/ADRD Treatment and Prevention (U54 Clinical Trial Not Allowed),HHS-NIH11,Posted,10/19/2023,02/15/2024,Cooperative Agreement,Health,No,2500000,0

RFA-OD-24-003,Down Syndrome Cohort Research Sites (DS-CRS) for the Down Syndrome Cohort Study Program (DS-CDP) across the lifespan for the INCLUDE Project (U01 Clinical Trial Not Allowed),HHS-NIH11,Posted,10/19/2023,2099-01-01,Cooperative Agreement,"Health
Income Security and Social Services",No,300000,0

RFA-OD-24-004,Federated Biobanking resource for the Down Syndrome Cohort Study Program (DS-CDP) across the lifespan for the INCLUDE Project (U24 Clinical Trial Not Allowed),HHS-NIH11,Posted,10/19/2023,2099-01-01,Cooperative Agreement,"Food and Nutrition
Health
Income Security and Social Services",No,3750000,0

RFA-OD-24-005,Down Syndrome Clinical Cohort Coordinating Center (DS-4C) for the INCLUDE Project (INvestigation of Co-occurring conditions across the Lifespan to Understand Down syndromE) (U54 Clinical Trial Not Allowed),HHS-NIH11,Posted,10/19/2023,2099-01-01,Cooperative Agreement,"Food and Nutrition
Health
Income Security and Social Services",No,0,0

TEMP-24287,BIA-2024-Tribal Energy Development Capacity (TEDC),DOI-BIA,Posted,10/19/2023,2099-01-01,Grant,Community Development,No,1000000,10000

NOAA-NMFS-AK-2024-2008194,2024 Alaska Native Organization Co-Management Funding Program,DOC,Posted,10/18/2023,2099-01-01,Cooperative Agreement,"Environment
Natural Resources
Science and Technology and other Research and Development",No,550000,15000

INL24GR0002-EASLOVAKIA-VICTIMJUS,"Building Victim-Centered, Trauma-Informed Criminal Justice System Capacities in Slovakia",DOS-INL,Posted,10/18/2023,2099-01-01,Grant,"Law, Justice and Legal Services",No,300000,200000

PDS-APS-FY24-01,U.S. Embassy Yerevan PDS Annual Program Statement,DOS-ARM,Posted,10/18/2023,2099-01-01,Cooperative AgreementGrant,"Other (see text field entitled ""Explanation of Other Category of Funding Activity"" for clarification)",No,150000,5000

W81EWF-24-SOI-0001,Proposed Cooperative Agreement for Dendrochronological Investigations to Evaluate Forest Ecosystems,DOD-COE,Posted,10/18/2023,2099-01-01,Cooperative Agreement,Science and Technology and other Research and Development,No,50000,0

USDA-FS-COMMUNITY-WOOD-2024,2024 Community Wood Energy and Wood Innovation Program,USDA-FS,Posted,10/18/2023,2099-01-01,Grant,Natural Resources,No,1000000,10000

USDA-FS-WOOD-INNOVATIONS-2024,Wood Utilization Assistance,USDA-FS,Posted,10/18/2023,2099-01-01,Grant,Natural Resources,Yes,300000,10000

DE-FOA-0003181,Climate Resilience Centers,PAMS-SC,Posted,10/18/2023,2099-01-01,Grant,Science and Technology and other Research and Development,No,1000000,100000

HHS-2024-ACL-NIDILRR-BISA-0069,"Small Business Innovation Research (SBIR) program, Phase I",HHS-ACL,Posted,10/18/2023,2099-01-01,Grant,Science and Technology and other Research and Development,No,100000,95000

F24AS00074,F24AS00074 FY24 Candidate Species Conservation,DOI-FWS,Posted,10/18/2023,2099-01-01,Cooperative AgreementGrant,Natural Resources,No,500000,1000

F24AS00431,F24AS00431 FY24 Recovery Implementation,DOI-FWS,Posted,10/18/2023,2099-01-01,Cooperative AgreementGrant,Natural Resources,No,2000000,1000

NOAA-NMFS-AK-2024-2008190,Alaska Marine Education and Training Mini-Grant Program,DOC,Posted,10/18/2023,2099-01-01,Cooperative AgreementGrant,"Education
Environment
Natural Resources
Science and Technology and other Research and Development",No,50000,15000

20240214-BH-BG,Landmarks of American History and Culture,NEH,Posted,10/18/2023,2099-01-01,Grant,"Humanities (see ""Cultural Affairs"" in CFDA)",No,190000,1

USDA-NIFA-FASLP-010247,Food and Agriculture Service Learning Program,USDA-NIFA,Posted,10/18/2023,2099-01-01,Grant,Agriculture,No,240000,112500

USDA-FS-WPIA-2024,2024 Wood Products Infrastructure Assistance Program,USDA-FS,Posted,10/18/2023,2099-01-01,Grant,Natural Resources,No,1000000,50000

RFI-621-24-HO-00001,USAID Malaria Vector Control Activity (MVCA),USAID-TAN,Forecasted,10/17/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:,0,0

20240111-PG,Preservation Assistance Grants for Smaller Institutions,NEH,Posted,10/17/2023,01/11/2024,Grant,"Humanities (see ""Cultural Affairs"" in CFDA)",No,10000,1

RFA-MD-24-001,Research Centers in Minority Institutions (RCMI) (U54 - Clinical Trial Optional),HHS-NIH11,Posted,10/17/2023,2099-01-01,Cooperative Agreement,Health,No,3500000,0

RFA-AA-23-004,Comprehensive Alcohol-HIV/AIDS Research Center (P60 Clinical Trial Optional),HHS-NIH11,Posted,10/17/2023,2099-01-01,Grant,Health,No,1200000,0

RFA-DA-25-013,Targeting Inflammasomes in HIV and Substance Use (R21 Clinical Trial Not Allowed),HHS-NIH11,Posted,10/17/2023,2099-01-01,Grant,"Education
Health",No,275000,0

RFA-DA-25-012,Targeting Inflammasomes in HIV and Substance Use (R01 Clinical Trial Not Allowed),HHS-NIH11,Posted,10/17/2023,2099-01-01,Grant,"Education
Health",No,500000,0

PAR-24-045,Leveraging Extant Data to Understand Developmental Trajectories of Late Talking Children (R21 Clinical Trial Not Allowed),HHS-NIH11,Posted,10/17/2023,2099-01-01,Grant,"Health
Income Security and Social Services",No,275000,0

FR-6700-N-05,ROSS (Resident Opportunity and Self-Sufficiency) Service Coordinator Program - FY2023 - NOFO,HUD,Posted,10/16/2023,2099-01-01,Grant,"Education
Employment, Labor and Training
Health
Housing
Opportunity Zone Benefits",Yes,816750,0

DE-FOA-0003184,FY 2024 Phase II Release 1,PAMS-SC,Posted,10/16/2023,2099-01-01,Cooperative AgreementGrant,Science and Technology and other Research and Development,No,1650000,1100000

HR001124S0002,Intrinsic Cognitive Security (ICS),DOD-DARPA-I2O,Posted,10/16/2023,2099-01-01,Cooperative AgreementOtherProcurement Contract,Science and Technology and other Research and Development,No,0,0

RFI-674-24-BOPHELO,Request for Information for BOPHELO BO BOTLE Activity (MEANS �GOOD HEALTH�),USAID-SAF,Forecasted,10/16/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:,0,0

RFI-674-24-SECURE,Request for Information and Comment on a Potential Opportunity focused on Sustaining Epidemic Control through Unified prevention in Lesotho,USAID-SAF,Forecasted,10/16/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:,0,0

P24AS00132,Southwest Border Resource Protection Program,DOI-NPS,Posted,10/16/2023,2099-01-01,Cooperative Agreement,Environment,No,55000,10000

RFA-DA-24-030,Applying Imaging Pipelines for Spatial Characterization of Cellular Interactions in HIV-related CNS Pathology and/or Substance Use (R61/R33 Clinical Trial Not Allowed),HHS-NIH11,Posted,10/16/2023,2099-01-01,Grant,"Education
Health",No,300000,0

20240111-PJ,National Digital Newspaper Program,NEH,Posted,10/16/2023,2099-01-01,Cooperative Agreement,"Humanities (see ""Cultural Affairs"" in CFDA)",No,325000,1

HRSA-24-039,Maternal and Child Health � Improving Oral Health Integration Demonstration Projects (MCH-IOHI Projects),HHS-HRSA,Posted,10/16/2023,2099-01-01,Cooperative Agreement,Health,No,0,0

HRSA-24-040,Maternal and Child Health � Improving Oral Health Integration National Consortium (MCH-IOHI Consortium),HHS-HRSA,Posted,10/16/2023,2099-01-01,Cooperative Agreement,Health,No,0,0

RFA-CA-24-006,Translational Research Toward Development of a Kaposi Sarcoma Herpesvirus (KSHV) Vaccine (U01 Clinical Trial Optional),HHS-NIH11,Posted,10/16/2023,2099-01-01,Cooperative Agreement,"Education
Health",No,0,0

72048624RFI00001,Resilience of Ethnic Tibetans (ResET) Activity,USAID-THA,Forecasted,10/15/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:,0,0

RFA-FD-24-001,Data Standards for Tobacco Research and Scientific Review Phase 2,HHS-FDA,Posted,10/13/2023,2099-01-01,Cooperative Agreement,"Agriculture
Consumer Protection
Food and Nutrition",No,250000,250000

FTA-2023-012-TRI-ADCMS,FY 2022-23 Accelerating Advanced Digital Construction Management Systems Program Competitive Funding Opportunity,DOT-FTA,Posted,10/13/2023,2099-01-01,Cooperative Agreement,Transportation,Yes,0,0

L24AS00087,FY24 Bureau of Land Management Wild Horse and Burro Resource Management - Off Range,DOI-BLM,Posted,10/13/2023,01/15/2024,Cooperative Agreement,Natural Resources,No,7500000,1000

RFA-GH-18-000,RFA-GH-18-000,HHS-CDC-HHSCDCERA,Posted,10/13/2023,10/13/2025,Cooperative Agreement,Health,No,0,0

RFA-DD-18-000,RFA-DD-18-000,HHS-CDC-HHSCDCERA,Posted,10/13/2023,10/13/2025,Cooperative Agreement,Health,No,0,0

NNH24ZDA002N,"Topical Workshops, Symposiums, and Conferences (TWSC-24) in Space and Earth Sciences and Technology",NASA-HQ,Posted,10/13/2023,11/30/2026,Cooperative AgreementGrant,Science and Technology and other Research and Development,No,0,0

DHS-23-MT-047-00-98,Fiscal Year 2023 Building Resilient Infrastructure and Communities (BRIC),DHS-DHS,Posted,10/12/2023,02/29/2024,Grant,"Other (see text field entitled ""Explanation of Other Category of Funding Activity"" for clarification)",Yes,0,0

DHS-23-MT-029-000-98,Notice of Funding Opportunity (NOFO) for Fiscal Year 2023 Flood Mitigation Assistance,DHS-DHS,Posted,10/12/2023,02/29/2024,Grant,"Other (see text field entitled ""Explanation of Other Category of Funding Activity"" for clarification)",Yes,0,0

HHS-2024-ACF-OHS-CH-R8-0112,Head Start/Early Head Start Recipient -- Communities in the state of Colorado,HHS-ACF-OHS,Posted,10/12/2023,12/14/2023,Grant,Income Security and Social Services,Yes,16517613,1000000

HHS-2024-ACF-OHS-CH-R10-0113,Head Start/Early Head Start Recipient -- Communities in the state of Alaska,HHS-ACF-OHS,Posted,10/12/2023,12/14/2023,Grant,Income Security and Social Services,Yes,9515601,1000000

PD-24-1699,Cognitive Neuroscience,NSF,Posted,10/12/2023,02/01/2024,Grant,Science and Technology and other Research and Development,No,0,0

HHS-2024-ACF-OHS-CH-R3-0111,Head Start/Early Head Start Recipient -- Communities in the state of Virginia,HHS-ACF-OHS,Posted,10/12/2023,12/14/2023,Grant,Income Security and Social Services,Yes,13002309,1000000

HHS-2024-ACF-OHS-CH-R7-0141,Head Start/Early Head Start Recipient -- Communities in the state of Missouri,HHS-ACF-OHS,Posted,10/12/2023,12/14/2023,Grant,Income Security and Social Services,Yes,6667562,1000000

HHS-2024-ACF-OHS-CH-R7-0092,Head Start/Early Head Start Recipient -- Communities in the state of Kansas,HHS-ACF-OHS,Posted,10/12/2023,12/14/2023,Grant,Income Security and Social Services,Yes,7881968,1000000

HHS-2024-ACF-OHS-CH-R1-0100,Head Start/Early Head Start Recipient -- Communities in the state of Massachusetts,HHS-ACF-OHS,Posted,10/12/2023,12/14/2023,Grant,Income Security and Social Services,Yes,1001082,1001082

HHS-2024-ACF-OHS-CH-R1-0101,Head Start/Early Head Start Recipient -- Communities in the state of Maine,HHS-ACF-OHS,Posted,10/12/2023,12/14/2023,Grant,Income Security and Social Services,Yes,3465303,1000000

HHS-2024-ACF-OHS-CH-R1-0099,Head Start/Early Head Start Recipient -- Communities in the state of Connecticut,HHS-ACF-OHS,Posted,10/12/2023,12/14/2023,Grant,Income Security and Social Services,Yes,6730860,1000000

FR-6700-N-49,Section 811 Supportive Housing for Persons with Disabilities (Capital Advance),HUD,Posted,10/12/2023,02/12/2024,Grant,Housing,No,5000000,1

FR-6700-N-53,Section 811 Project Rental Assistance for Persons with Disabilities,HUD,Posted,10/12/2023,02/12/2024,Cooperative Agreement,Housing,No,8000000,1

PAR-23-303,Unveiling Health and Healthcare Disparities in Non-Communicable and Chronic Diseases in Latin America: Setting the Stage for Better Health Outcomes Across the Hemisphere (R01 - Clinical Trials Not Allowed),HHS-NIH11,Posted,10/12/2023,01/06/2027,Grant,"Education
Health",No,0,0

PAR-23-304,Interventions on Health and Healthcare Disparities on Non-Communicable and Chronic Diseases in Latin America: Improving Health Outcomes Across the Hemisphere (R01 - Clinical Trial Required),HHS-NIH11,Posted,10/12/2023,01/06/2027,Grant,"Education
Health",No,0,0

PAR-24-028,Modern Equipment for Shared-use Biomedical Research Facilities: Advancing Research-Related Operations (R24 Clinical Trials Not Allowed),HHS-NIH11,Posted,10/12/2023,11/15/2023,Grant,Health,No,350000,0

DE-FOA-0003189,Notice of Intent to Issue Funding Opportunity Announcement No. DE-FOA-0003103,DOE-GFO,Posted,10/12/2023,04/10/2024,Other,Energy,No,1,1

HHS-2024-ACF-OHS-CH-R6-0103,Head Start/Early Head Start Recipient -- Communities in the state of Texas,HHS-ACF-OHS,Posted,10/12/2023,12/14/2023,Grant,Income Security and Social Services,Yes,46190763,1000000

HHS-2024-ACF-OHS-CH-R3-0107,Head Start/Early Head Start Recipient -- Communities in the state of Pennsylvania,HHS-ACF-OHS,Posted,10/12/2023,12/14/2023,Grant,Income Security and Social Services,Yes,13597701,1000000

HHS-2024-ACF-OHS-CH-R3-0115,Head Start/Early Head Start Recipient -- Communities in the state of Maryland,HHS-ACF-OHS,Posted,10/12/2023,12/14/2023,Grant,Income Security and Social Services,Yes,2813509,1000000

HHS-2024-ACF-OHS-CH-R3-0140,Head Start/Early Head Start Recipient -- Communities in the state of West Virginia,HHS-ACF-OHS,Posted,10/12/2023,12/14/2023,Grant,Income Security and Social Services,Yes,5516448,1000000

HHS-2024-ACF-OHS-CH-R5-0119,Head Start/Early Head Start Recipient -- Communities in the state of Michigan,HHS-ACF-OHS,Posted,10/12/2023,12/14/2023,Grant,Income Security and Social Services,Yes,42042561,1000000

HHS-2024-ACF-OHS-CH-R6-0106,Head Start/Early Head Start Recipient -- Communities in the state of Arkansas,HHS-ACF-OHS,Posted,10/12/2023,12/14/2023,Grant,Income Security and Social Services,Yes,13293596,1000000

HHS-2024-ACF-OHS-CH-R4-0105,Head Start/Early Head Start Recipient -- Communities in the state of Florida,HHS-ACF-OHS,Posted,10/12/2023,12/14/2023,Grant,Income Security and Social Services,Yes,21898960,1000000

HHS-2024-ACF-OHS-CH-R5-0122,Head Start/Early Head Start Recipient -- Communities in the state of Minnesota,HHS-ACF-OHS,Posted,10/12/2023,12/14/2023,Grant,Income Security and Social Services,Yes,18312969,1000000

HHS-2024-ACF-OHS-CH-R4-0143,Head Start/Early Head Start Recipient -- Communities in the state of Tennessee,HHS-ACF-OHS,Posted,10/12/2023,12/14/2023,Grant,Income Security and Social Services,Yes,2699298,1000000

HHS-2024-ACF-OHS-CH-R5-0117,Head Start/Early Head Start Recipient -- Communities in the state of Indiana,HHS-ACF-OHS,Posted,10/12/2023,12/14/2023,Grant,Income Security and Social Services,Yes,13883046,1000000

HHS-2024-ACF-OHS-CH-R5-0124,Head Start/Early Head Start Recipient -- Communities in the state of Wisconsin,HHS-ACF-OHS,Posted,10/12/2023,12/14/2023,Grant,Income Security and Social Services,Yes,12722388,1000000

HHS-2024-ACF-OHS-HP-R4-0110,"Early Head Start Expansion and Early Head Start-Child Care Partnership Grants - Charleston County, South Carolina",HHS-ACF-OHS,Posted,10/12/2023,12/14/2023,Grant,"Income Security and Social Services
Opportunity Zone Benefits",Yes,1567898,1567898

HHS-2024-ACF-OHS-CH-R2-0114,Head Start/Early Head Start Recipient -- Communities in the state of New York,HHS-ACF-OHS,Posted,10/12/2023,12/14/2023,Grant,Income Security and Social Services,Yes,51688997,1000000

HHS-2024-ACF-OHS-CH-R5-0116,Head Start/Early Head Start Recipient -- Communities in the state of Illinois,HHS-ACF-OHS,Posted,10/12/2023,12/14/2023,Grant,Income Security and Social Services,Yes,14664315,1000000

HHS-2024-ACF-OHS-CH-R5-0123,Head Start/Early Head Start Recipient -- Communities in the state of Ohio,HHS-ACF-OHS,Posted,10/12/2023,12/14/2023,Grant,Income Security and Social Services,Yes,67048390,1000000

HHS-2024-ACF-OHS-CH-R4-0118,Head Start/Early Head Start Recipient -- Communities in the state of Alabama,HHS-ACF-OHS,Posted,10/12/2023,12/14/2023,Grant,Income Security and Social Services,Yes,17437816,1000000

HHS-2024-ACF-OHS-CH-R4-0108,Head Start/Early Head Start Recipient -- Communities in the state of North Carolina,HHS-ACF-OHS,Posted,10/12/2023,12/14/2023,Grant,Income Security and Social Services,Yes,2461828,1000000

HHS-2024-ACF-OHS-CH-R4-0121,Head Start/Early Head Start Recipient -- Communities in the state of Kentucky,HHS-ACF-OHS,Posted,10/12/2023,12/14/2023,Grant,Income Security and Social Services,Yes,2575543,1000000

HHS-2024-ACF-OHS-CH-R4-0120,Head Start/Early Head Start Recipient -- Communities in the state of Georgia,HHS-ACF-OHS,Posted,10/12/2023,12/14/2023,Grant,Income Security and Social Services,Yes,14880917,1000000

HHS-2024-ACF-OHS-CH-R4-0142,Head Start/Early Head Start Recipient -- Communities in the state of South Carolina,HHS-ACF-OHS,Posted,10/12/2023,12/14/2023,Grant,Income Security and Social Services,Yes,4057133,1000000

HHS-2024-ACF-OHS-HP-R3-0098,"Early Head Start Expansion and Early Head Start-Child Care Partnership Grants - Charles City, Gloucester, King William, King and Queen, Middlesex, Mathews, New Kent and West Point Counties, Virginia",HHS-ACF-OHS,Posted,10/12/2023,2099-01-01,Grant,"Income Security and Social Services
Opportunity Zone Benefits",Yes,1438626,1438626

HHS-2024-ACF-OHS-CH-R2-0090,Head Start/Early Head Start Recipient -- Communities in Puerto Rico,HHS-ACF-OHS,Posted,10/12/2023,2099-01-01,Grant,Income Security and Social Services,Yes,65855821,1000000

PDS-FI-FY24-01,U.S. Embassy in Finland Public Diplomacy Annual Program Statement,DOS-FIN,Posted,10/11/2023,2099-01-01,Cooperative AgreementGrant,"Other (see text field entitled ""Explanation of Other Category of Funding Activity"" for clarification)",No,50000,5000

RFA-PS-24-039,Improving the Quality of Life of People with HIV Aged 50 Years and Older in the United States,HHS-CDC-HHSCDCERA,Forecasted,10/11/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:, 350000, 265000

RFA-PS-24-040,"Understanding Infant Feeding Preferences, Practices, and Outcomes for People with HIV in the United States",HHS-CDC-HHSCDCERA,Forecasted,10/11/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:, 1100000, 825000

RFA-PS-24-042,A Bridge to Adherence: Long-Acting Antiretroviral Therapy for People with HIV Released from Prison,HHS-CDC-HHSCDCERA,Forecasted,10/11/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:, 375000, 285000

RFA-PS-24-063,"Minority HIV Research Initiative (MARI): Epidemiologic, Behavioral, and Implementation Science Research in Racial/Ethnic Minority Communities Disproportionately Affected by HIV and Build Research Capacity Among Historically Underrepresented Researchers",HHS-CDC-HHSCDCERA,Forecasted,10/11/2023,2099-01-01,Funding Instrument Type:,Category of Funding Activity:,Cost Sharing or Matching Requirement:, 350000, 265000

NNH23ZDA001N-FSIT,ROSES 2023: A.65 FireSense Implementation Team,NASA-HQ,Posted,10/11/2023,2099-01-01,Cooperative AgreementGrant,Science and Technology and other Research and Development,No,0,0

